periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere
2018-01-07,177,154,120.0,93,156,320,169,306,536,180,176
2018-01-14,143,143,175.0,134,174,283,206,266,500,182,193
2018-01-21,163,166,147.0,108,208,227,211,257,473,206,230
2018-01-28,136,136,118.0,122,167,210,220,257,449,216,258
2018-02-04,122,144,134.0,93,201,204,184,191,466,199,218
2018-02-11,195,145,164.0,90,198,222,217,244,571,219,172
2018-02-18,135,163,157.0,114,181,221,179,241,560,165,233
2018-02-25,127,137,188.0,124,196,222,192,281,628,144,216
2018-03-04,144,138,158.0,170,182,198,197,331,529,130,160
2018-03-11,145,198,170.0,115,207,232,218,301,647,179,167
2018-03-18,168,212,196.0,181,313,317,256,289,640,214,247
2018-03-25,214,245,245.0,207,349,395,292,273,703,259,355
2018-04-01,256,384,211.0,274,426,360,328,349,682,299,380
2018-04-08,264,343,205.0,269,383,364,301,384,637,297,323
2018-04-15,298,365,191.0,266,411,373,334,355,617,303,379
2018-04-22,310,322,225.0,290,391,585,338,388,644,340,364
2018-04-29,328,493,252.0,316,471,624,383,425,648,312,470
2018-05-06,282,432,205.0,202,364,419,298,402,554,291,443
2018-05-13,316,346,218.0,196,367,459,300,442,645,280,446
2018-05-20,266,342,178.0,237,374,384,336,415,702,335,395
2018-05-27,265,320,201.0,251,377,421,336,437,658,291,464
2018-06-03,250,343,165.0,235,397,511,332,393,580,299,352
2018-06-10,251,262,188.0,159,345,408,308,322,555,223,338
2018-06-17,251,230,159.0,144,316,321,280,292,449,214,290
2018-06-24,220,280,188.0,171,395,423,332,405,635,249,302
2018-07-01,219,259,138.0,165,363,381,319,340,622,225,302
2018-07-08,220,221,130.0,144,353,305,279,284,719,246,307
2018-07-15,231,229,161.0,114,309,317,318,306,608,227,334
2018-07-22,264,192,116.0,136,317,300,239,288,674,216,268
2018-07-29,251,252,131.0,145,229,375,238,305,647,206,264
2018-08-05,228,178,111.0,179,229,308,195,253,663,218,310
2018-08-12,188,168,130.0,133,238,287,245,319,747,259,276
2018-08-19,223,178,135.0,167,176,324,254,352,707,238,286
2018-08-26,192,155,151.0,163,143,264,221,317,614,206,248
2018-09-02,196,207,161.0,187,249,332,240,377,733,280,338
2018-09-09,242,232,181.0,133,304,329,231,390,929,297,388
2018-09-16,219,260,222.0,211,333,399,249,426,945,281,376
2018-09-23,153,229,202.0,154,412,403,280,436,943,307,363
2018-09-30,211,203,189.0,274,463,438,305,441,927,351,344
2018-10-07,219,264,220.0,245,460,533,322,468,1050,298,322
2018-10-14,238,277,270.0,318,599,682,357,616,1090,388,391
2018-10-21,260,332,260.0,311,603,674,429,692,1291,397,390
2018-10-28,285,309,253.0,380,622,718,381,614,1294,461,400
2018-11-04,318,355,223.0,325,588,602,391,592,1160,293,429
2018-11-11,278,346,255.0,248,550,591,354,577,908,385,413
2018-11-18,218,311,196.0,227,466,651,386,426,985,382,335
2018-11-25,199,386,188.0,263,440,569,353,473,891,378,335
2018-12-02,250,298,143.0,288,342,500,364,437,679,360,354
2018-12-09,232,263,153.0,75,353,470,258,338,637,291,223
2018-12-16,188,276,119.0,138,271,437,252,324,686,259,173
2018-12-23,164,211,77.0,112,241,391,208,273,556,183,241
2018-12-30,107,185,226.0,114,147,325,194,274,500,122,146
2019-01-06,182,191,91.0,114,122,245,192,271,596,144,164
2019-01-13,194,177,166.0,143,85,334,160,279,733,163,163
2019-01-20,210,217,163.0,153,113,256,213,299,731,239,177
2019-01-27,167,226,188.0,157,113,310,215,272,710,242,185
2019-02-03,181,201,159.0,159,159,340,216,306,766,225,492
2019-02-10,227,233,173.0,146,139,342,220,303,717,213,183
2019-02-17,199,192,200.0,160,162,338,225,307,659,250,218
2019-02-24,279,234,208.0,174,177,337,282,330,540,295,191
2019-03-03,227,251,131.0,162,175,326,293,293,633,236,168
2019-03-10,270,270,164.0,155,203,291,277,309,613,228,227
2019-03-17,250,280,158.0,181,219,341,281,311,586,259,290
2019-03-24,243,340,225.0,270,178,350,296,374,599,287,276
2019-03-31,281,403,203.0,288,246,388,311,395,625,304,450
2019-04-07,300,456,218.0,247,471,404,273,371,610,342,384
2019-04-14,328,389,205.0,258,429,435,347,352,577,274,327
2019-04-21,349,458,270.0,340,331,450,295,401,683,345,181
2019-04-28,371,559,194.0,326,391,647,366,455,808,341,396
2019-05-05,299,498,237.0,320,453,568,333,405,747,253,438
2019-05-12,294,459,218.0,196,426,551,233,511,793,246,494
2019-05-19,347,441,150.0,85,532,677,340,302,733,261,526
2019-05-26,371,476,109.0,102,569,617,333,437,721,380,532
2019-06-02,296,320,123.0,93,542,463,260,236,732,330,340
2019-06-09,255,274,124.0,192,452,509,370,456,623,267,281
2019-06-16,334,327,206.0,183,425,628,334,466,757,317,146
2019-06-23,308,379,161.0,166,510,575,451,399,800,301,159
2019-06-30,264,386,168.0,204,362,522,381,451,792,324,131
2019-07-07,318,363,166.0,124,356,629,353,364,850,275,111
2019-07-14,294,290,98.0,215,261,557,368,409,827,281,116
2019-07-21,294,231,115.0,219,376,524,381,414,833,251,97
2019-07-28,293,239,11.0,88,378,403,357,278,796,187,268
2019-08-04,255,234,127.0,165,391,451,384,371,828,342,329
2019-08-11,211,211,173.0,315,404,396,362,443,842,267,237
2019-08-18,265,264,162.0,209,444,361,367,481,962,304,301
2019-08-25,278,196,79.0,81,389,490,366,288,1041,265,294
2019-09-01,231,227,156.098039215686,71,506,377,338,19,1039,172,275
2019-09-08,244,231,70.0,71,356,473,301,279,1024,284,297
2019-09-15,221,184,37.0,80,403,499,381,393,900,377,363
2019-09-22,273,236,132.0,77,375,484,367,347,988,286,263
2019-09-29,182,241,65.0,86,443,494,406,367,954,330,283
2019-10-06,197,264,205.0,231,543,484,326,551,1095,328,281
2019-10-13,190,206,196.0,271,497,493,275,660,1128,340,324
2019-10-20,255,229,244.0,286,577,501,371,622,1214,342,352
2019-10-27,214,313,195.0,241,402,460,373,564,1198,339,383
2019-11-03,251,277,185.0,407,406,497,396,491,1029,313,401
2019-11-10,212,217,169.0,231,347,434,384,460,907,340,340
2019-11-17,209,214,180.0,261,279,407,387,363,874,342,305
2019-11-24,217,229,162.0,317,231,410,346,413,793,322,272
2019-12-01,192,268,147.0,193,183,384,359,371,783,268,256
2019-12-08,200,213,156.0,157,217,402,315,330,623,307,260
2019-12-15,232,125,123.0,249,218,373,290,295,598,232,173
2019-12-22,232,137,93.0,45,348,373,221,187,567,240,167
2019-12-29,231,141,59.0,45,136,242,252,158,638,195,111
2020-01-05,197,167,108.0,71,105,285,237,241,610,156,116
2020-01-12,173,202,131.0,118,83,272,236,265,595,190,130
2020-01-19,174,187,129.0,117,111,243,206,228,563,226,185
2020-01-26,171,189,115.0,115,132,220,222,258,538,231,154
2020-02-02,218,202,115.0,116,146,299,208,261,671,211,182
2020-02-09,162,201,122.0,129,161,292,251,257,653,174,148
2020-02-16,152,198,135.0,114,131,299,199,312,650,185,179
2020-02-23,159,200,124.0,171,152,368,261,291,634,187,161
2020-03-01,159,191,145.0,146,196,406,265,283,717,186,228
2020-03-08,156,185,161.0,177,140,287,283,307,654,198,130
2020-03-15,186,146,139.0,211,191,367,276,306,562,216,169
2020-03-22,169,177,147.0,235,185,403,253,327,630,203,197
2020-03-29,150,171,177.0,256,194,405,224,280,594,239,156
2020-04-05,146,183,158.0,179,204,363,247,311,464,233,185
2020-04-12,209,144,135.0,174,229,291,216,305,568,239,206
2020-04-19,216,263,135.0,219,244,373,237,385,651,173,236
2020-04-26,275,261,150.0,215,273,377,273,327,695,294,253
2020-05-03,327,360,146.0,207,265,342,275,415,683,285,264
2020-05-10,365,330,155.0,238,291,403,349,427,763,337,295
2020-05-17,355,352,136.0,262,374,425,386,452,660,347,253
2020-05-24,326,325,114.0,208,238,400,341,369,590,338,174
2020-05-31,416,301,117.0,209,351,485,363,411,710,354,300
2020-06-07,439,294,147.0,228,328,467,368,380,739,338,305
2020-06-14,429,324,116.0,189,321,440,336,405,705,313,261
2020-06-21,348,292,135.0,176,289,475,414,323,786,302,219
2020-06-28,332,221,113.0,210,368,503,355,376,690,318,188
2020-07-05,316,361,72.0,180,254,424,310,355,638,220,191
2020-07-12,306,233,83.0,194,199,375,308,300,693,299,156
