Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere
177,154,120.0,93,156,320,169,306,536,180,176
143,143,175.0,134,174,283,206,266,500,182,193
163,166,147.0,108,208,227,211,257,473,206,230
136,136,118.0,122,167,210,220,257,449,216,258
122,144,134.0,93,201,204,184,191,466,199,218
195,145,164.0,90,198,222,217,244,571,219,172
135,163,157.0,114,181,221,179,241,560,165,233
127,137,188.0,124,196,222,192,281,628,144,216
144,138,158.0,170,182,198,197,331,529,130,160
145,198,170.0,115,207,232,218,301,647,179,167
168,212,196.0,181,313,317,256,289,640,214,247
214,245,245.0,207,349,395,292,273,703,259,355
256,384,211.0,274,426,360,328,349,682,299,380
264,343,205.0,269,383,364,301,384,637,297,323
298,365,191.0,266,411,373,334,355,617,303,379
310,322,225.0,290,391,585,338,388,644,340,364
328,493,252.0,316,471,624,383,425,648,312,470
282,432,205.0,202,364,419,298,402,554,291,443
316,346,218.0,196,367,459,300,442,645,280,446
266,342,178.0,237,374,384,336,415,702,335,395
265,320,201.0,251,377,421,336,437,658,291,464
250,343,165.0,235,397,511,332,393,580,299,352
251,262,188.0,159,345,408,308,322,555,223,338
251,230,159.0,144,316,321,280,292,449,214,290
220,280,188.0,171,395,423,332,405,635,249,302
219,259,138.0,165,363,381,319,340,622,225,302
220,221,130.0,144,353,305,279,284,719,246,307
231,229,161.0,114,309,317,318,306,608,227,334
264,192,116.0,136,317,300,239,288,674,216,268
251,252,131.0,145,229,375,238,305,647,206,264
228,178,111.0,179,229,308,195,253,663,218,310
188,168,130.0,133,238,287,245,319,747,259,276
223,178,135.0,167,176,324,254,352,707,238,286
192,155,151.0,163,143,264,221,317,614,206,248
196,207,161.0,187,249,332,240,377,733,280,338
242,232,181.0,133,304,329,231,390,929,297,388
219,260,222.0,211,333,399,249,426,945,281,376
153,229,202.0,154,412,403,280,436,943,307,363
211,203,189.0,274,463,438,305,441,927,351,344
219,264,220.0,245,460,533,322,468,1050,298,322
238,277,270.0,318,599,682,357,616,1090,388,391
260,332,260.0,311,603,674,429,692,1291,397,390
285,309,253.0,380,622,718,381,614,1294,461,400
318,355,223.0,325,588,602,391,592,1160,293,429
278,346,255.0,248,550,591,354,577,908,385,413
218,311,196.0,227,466,651,386,426,985,382,335
199,386,188.0,263,440,569,353,473,891,378,335
250,298,143.0,288,342,500,364,437,679,360,354
232,263,153.0,75,353,470,258,338,637,291,223
188,276,119.0,138,271,437,252,324,686,259,173
164,211,77.0,112,241,391,208,273,556,183,241
107,185,226.0,114,147,325,194,274,500,122,146
182,191,91.0,114,122,245,192,271,596,144,164
194,177,166.0,143,85,334,160,279,733,163,163
210,217,163.0,153,113,256,213,299,731,239,177
167,226,188.0,157,113,310,215,272,710,242,185
181,201,159.0,159,159,340,216,306,766,225,492
227,233,173.0,146,139,342,220,303,717,213,183
199,192,200.0,160,162,338,225,307,659,250,218
279,234,208.0,174,177,337,282,330,540,295,191
227,251,131.0,162,175,326,293,293,633,236,168
270,270,164.0,155,203,291,277,309,613,228,227
250,280,158.0,181,219,341,281,311,586,259,290
243,340,225.0,270,178,350,296,374,599,287,276
281,403,203.0,288,246,388,311,395,625,304,450
300,456,218.0,247,471,404,273,371,610,342,384
328,389,205.0,258,429,435,347,352,577,274,327
349,458,270.0,340,331,450,295,401,683,345,181
371,559,194.0,326,391,647,366,455,808,341,396
299,498,237.0,320,453,568,333,405,747,253,438
294,459,218.0,196,426,551,233,511,793,246,494
347,441,150.0,85,532,677,340,302,733,261,526
371,476,109.0,102,569,617,333,437,721,380,532
296,320,123.0,93,542,463,260,236,732,330,340
