"Bankim","Banyo","Belel","Dang","Djohong","Meiganga","Ngaoundal","Ngaoundere_Rural","Ngaoundere_Urbain","Tibati","Tignere"
177,180.63,120,93,156,320,169,306,536,180,176
143,185.3,175,134,163.7,267.98,206,266,500,182,169.86
163,166,147,108,208,227,211,257,473,206,230
136,136,118,122,193.07,210,220,239.02,449,216,258
122,144,134,93,201,204,184,191,466,172.22,218
154.27,174.68,164,90,198,222,217,244,571,192.11,172
135,163,157,110.79,181,221,179,241,560,165,193.68
127,180.76,188,126.48,176.97,222,192,281,628,144,216
144,138,158,170,182,198,197,238.8,529,130,160
178.03,198,170,115,207,232,218,301,647,179,167
168,212,196,181,313,317,256,289,640,214,278.04
214,245,245,207,349,395,292,273,703,259,355
256,384,211,274,426,360,328,349,668.04,299,380
264,343,184.65,269,383,364,301,384,637,297,323
298,365,191,259.69,411,373,334,355,617,303,379
310,341.95,170.86,274.23,391,585,338,388,644,340,364
328,493,252,316,471,624,383,425,648,312,470
282,432,205,202,364,419,298,402,689.8,291,443
316,346,218,196,367,459,304.82,442,645,280,446
266,342,190.82,256.09,374,384,336,415,702,304.69,395
281.66,320,201,251,377,421,336,437,658,291,464
250,343,165,246.92,397,511,332,382.52,580,299,352
251,262,188,159,345,408,308,322,555,223,338
251,230,159,144,316,321,280,292,449,214,290
220,280,150.5,171,395,423,332,405,635,249,302
244.95,259,138,165,363,381,319,340,622,225,302
220,221,130,144,353,305,279,284,719,246,307
231,229,161.26,114,309,317,318,306,608,227,334
264,192,116,136,317,300,239,288,674,216,268
251,252,131,169.8,229,331.2,238,305,647,206,264
228,178,111,179,229,308,195,294.67,663,218,310
188,168,130,133,238,287,245,319,747,259,276
206.88,178,135,167,176,324,254,352,707,238,286
192,155,151,163,143,264,238.82,292.29,614,206,248
196,207,161,187,249,332,240,377,757.61,280,338
242,232,181,133,304,329,231,390,929,297,388
219,260,179.96,211,333,399,249,426,755.89,281,376
153,229,202,154,412,403,311.27,436,943,307,363
211,203,189,274,341.05,438,305,441,927,333.41,344
219,264,220,245,460,533,322,468,1050,298,322
238,277,270,318,599,682,357,616,1090,388,369.9
260,332,260,311,603,674,429,692,1291,397,390
285,309,253,380,622,718,381,614,1294,461,400
318,355,223,325,588,602,391,592,988.77,293,429
278,346,255,248,550,591,393.23,577,908,385,413
218,311,196,227,466,651,386,426,985,382,335
297.79,386,188,263,440,569,353,473,834.34,378,335
250,298,153.86,288,342,500,364,437,679,360,354
232,263,153,222.26,353,470,258,338,637,291,223
188,276,119,138,271,437,252,324,686,259,173
