"Bankim","Banyo","Belel","Dang","Djohong","Meiganga","Ngaoundal","Ngaoundere_Rural","Ngaoundere_Urbain","Tibati","Tignere"
177,231,120,93,244,320,169,306,536,211,176
227,143,175,134,174,227,206,266,500,182,193
173,177,147,108,208,227,211,257,473,206,230
136,185,122,174,167,210,220,257,563,216,258
258,144,134,93,146,204,184,191,466,199,218
195,145,164,90,198,222,216,258,500,219,172
205,163,157,115,181,221,179,241,500,165,233
127,137,188,124,196,222,192,281,628,144,216
144,158,158,170,182,198,197,271,529,130,160
217,198,170,211,207,232,237,352,674,179,197
187,212,196,181,313,317,256,289,640,214,247
214,245,245,207,349,395,292,273,703,259,355
256,261,211,274,198,360,328,349,682,299,276
264,343,205,269,374,364,301,384,637,297,323
234,280,191,266,411,373,334,355,617,291,323
310,322,225,290,391,585,338,361,644,336,364
328,493,252,316,471,478,383,425,648,341,470
282,432,205,238,364,419,298,402,554,291,384
301,346,218,196,367,459,300,349,645,280,327
266,342,178,237,374,384,336,415,702,335,395
265,320,201,258,377,421,336,437,658,291,464
250,343,141,235,347,511,332,393,580,299,352
251,262,188,159,345,395,308,322,555,223,338
251,230,159,144,316,398,280,328,449,299,224
250,280,188,171,395,423,332,405,635,297,302
244,259,138,165,216,381,319,340,622,259,302
220,221,130,144,353,430,239,284,719,246,228
265,229,161,114,309,317,256,306,608,227,334
264,192,116,136,317,300,239,288,674,216,228
251,252,131,145,229,338,238,305,647,206,264
228,178,111,238,229,404,195,253,663,218,214
188,212,166,133,238,287,245,319,747,259,276
223,178,135,167,146,324,254,352,634,238,286
192,155,151,163,143,264,221,317,614,206,183
196,187,161,187,249,332,281,377,747,280,338
242,232,150,133,208,329,231,390,929,297,388
219,260,222,211,333,399,386,441,945,281,376
153,229,134,154,412,403,280,436,943,307,329
211,301,189,274,463,438,305,441,927,351,344
219,264,169,241,460,533,322,468,1050,298,322
238,311,270,318,599,569,357,616,1090,388,383
260,332,260,325,603,674,429,564,1291,397,390
285,309,253,380,622,718,357,614,1294,385,383
318,355,223,325,588,602,391,468,1160,293,429
278,346,255,248,550,591,354,577,908,385,335
218,311,196,227,466,577,386,481,985,382,335
199,386,188,263,440,569,353,473,891,378,322
250,298,143,296,342,511,364,437,679,360,354
232,263,153,75,191,470,258,338,637,291,223
188,213,98,138,271,437,252,324,686,211,173
164,200,77,179,241,391,306,273,556,183,241
107,185,118,114,147,325,194,274,634,122,146
172,171,91,114,122,245,192,271,596,144,164
194,177,166,143,85,334,160,279,733,163,163
210,190,163,153,113,256,213,301,731,239,183
196,226,188,157,113,310,215,272,710,242,183
285,201,159,144,353,399,286,328,766,299,229
227,233,173,146,139,342,220,303,630,213,183
242,192,115,160,162,338,225,307,659,250,218
219,234,208,174,177,337,276,293,540,295,191
227,251,131,162,175,338,293,293,633,236,168
270,270,164,155,203,291,238,309,613,228,227
251,280,158,181,219,342,281,311,647,259,290
243,340,114,270,178,350,296,374,705,287,276
281,220,105,288,246,388,384,395,682,343,450
300,456,218,247,471,404,273,371,658,342,384
328,282,205,258,429,435,347,352,577,274,327
349,458,270,340,339,450,295,401,683,345,181
371,559,206,326,391,647,366,427,723,341,396
299,257,237,320,167,568,384,405,861,253,438
294,459,218,196,426,530,233,405,793,335,494
265,441,150,314,532,677,340,302,733,261,526
265,298,109,314,569,617,333,437,721,380,532
296,201,123,93,316,399,349,300,732,330,243
255,274,124,192,452,509,351,456,623,267,281
334,327,206,183,425,628,334,466,792,317,146
308,379,161,166,510,575,451,399,735,301,146
264,301,168,204,362,522,381,451,792,324,131
318,363,166,124,321,629,353,364,782,275,111
294,280,98,215,261,557,368,409,827,324,116
