"Bankim","Banyo","Belel","Dang","Djohong","Meiganga","Ngaoundal","Ngaoundere_Rural","Ngaoundere_Urbain","Tibati","Tignere"
177,229,120,93,103,320,169,306,536,221,176
156,143,175,134,174,299,206,266,500,182,193
147,234,147,108,208,227,211,257,473,206,230
136,201,129,114,167,210,220,257,473,216,258
190,144,134,93,173,204,184,191,466,199,218
195,145,164,90,198,222,184,309,731,219,172
194,163,157,124,181,221,179,241,596,165,233
127,137,188,124,196,222,192,281,628,144,216
144,167,158,170,182,198,197,261,529,130,160
156,198,170,136,207,232,194,281,670,179,156
159,212,196,181,313,317,256,289,640,214,247
214,245,245,207,349,395,292,273,703,259,355
256,340,211,274,321,360,328,349,682,299,438
264,343,205,269,265,364,301,384,637,297,323
164,342,191,266,411,373,334,355,617,203,383
310,322,225,290,391,585,338,425,644,327,364
328,493,252,316,471,559,383,425,648,289,470
282,432,205,174,364,419,298,402,554,291,324
246,346,218,196,367,459,300,316,645,280,272
266,342,178,237,374,384,336,415,702,335,395
265,320,201,308,377,421,336,437,658,291,464
250,343,222,235,452,511,332,393,580,299,352
217,262,188,159,345,327,308,322,555,223,338
251,230,159,144,316,363,280,258,449,174,261
255,280,188,171,395,423,332,405,635,275,302
279,259,138,165,176,381,319,340,622,319,302
220,221,130,144,353,388,290,284,719,246,188
207,229,161,114,309,317,194,306,608,227,334
264,192,116,136,317,300,239,288,674,216,236
251,252,131,145,229,343,238,305,647,206,264
228,178,111,115,229,368,195,253,663,218,193
217,195,108,133,238,287,245,319,747,259,276
223,178,135,167,263,324,254,352,520,238,286
192,155,151,163,143,264,221,317,614,206,179
196,266,161,187,249,332,194,377,754,280,338
242,232,166,133,481,329,231,390,929,297,388
219,260,222,211,333,399,319,425,945,281,376
153,229,166,154,412,403,280,436,943,307,295
211,274,189,274,463,438,305,441,927,351,344
219,264,124,182,460,533,322,468,1050,298,322
238,355,270,318,599,617,357,616,1090,388,438
260,332,260,316,603,674,429,577,1291,397,390
285,309,253,380,622,718,1053,614,1294,501,526
318,355,223,325,588,602,391,622,1160,293,429
278,346,255,248,550,591,354,577,908,385,354
218,311,196,227,466,559,386,401,985,382,335
199,386,188,263,440,569,353,473,891,378,286
250,298,143,286,342,434,364,437,679,360,354
232,263,153,75,295,470,258,338,637,291,223
188,143,91,138,271,437,252,324,686,295,173
164,147,77,245,241,391,237,273,556,183,241
107,185,147,114,147,325,194,274,556,122,146
195,144,91,114,122,245,192,271,596,144,164
194,177,166,143,85,334,160,279,733,163,163
210,251,163,153,113,256,213,306,731,239,157
173,226,188,157,113,310,215,272,710,242,214
229,201,159,226,368,530,337,383,766,267,241
227,233,173,146,139,342,220,303,563,213,183
164,192,77,160,162,338,225,307,659,250,218
253,234,208,174,177,337,385,385,540,295,191
