"Bankim","Banyo","Belel","Dang","Djohong","Meiganga","Ngaoundal","Ngaoundere_Rural","Ngaoundere_Urbain","Tibati","Tignere"
177,244.702564102564,120,93,265.435643564356,320,169,306,536,293.333333333333,176
246.936893203883,143,175,134,174,425.920187793427,206,266,500,182,193
246.936893203883,244.702564102564,147,108,208,227,211,257,473,206,230
136,244.702564102564,139.239896897726,227.815668202765,167,210,220,257,696.139303482587,216,258
246.936893203883,144,134,93,265.435643564356,204,184,191,466,199,218
195,145,164,90,198,222,326.701421800948,349.734299516908,696.139303482587,219,172
246.936893203883,163,157,227.815668202765,181,221,179,241,696.139303482587,165,233
127,137,188,124,196,222,192,281,628,144,216
144,244.702564102564,158,170,182,198,197,349.734299516908,529,130,160
246.936893203883,198,170,227.815668202765,207,232,326.701421800948,349.734299516908,696.139303482587,179,262.604761904762
246.936893203883,212,196,181,313,317,256,289,640,214,247
214,245,245,207,349,395,292,273,703,259,355
256,244.702564102564,211,274,265.435643564356,360,328,349,682,299,262.604761904762
264,343,205,269,265.435643564356,364,301,384,637,297,323
246.936893203883,244.702564102564,191,266,411,373,334,355,617,293.333333333333,262.604761904762
310,322,225,290,391,585,338,349.734299516908,644,293.333333333333,364
328,493,252,316,471,425.920187793427,383,425,648,293.333333333333,470
282,432,205,227.815668202765,364,419,298,402,554,291,262.604761904762
246.936893203883,346,218,196,367,459,300,349.734299516908,645,280,262.604761904762
266,342,178,237,374,384,336,415,702,335,395
265,320,201,227.815668202765,377,421,336,437,658,291,464
250,343,139.239896897726,235,265.435643564356,511,332,393,580,299,352
246.936893203883,262,188,159,345,425.920187793427,308,322,555,223,338
251,230,159,144,316,425.920187793427,280,349.734299516908,449,293.333333333333,262.604761904762
246.936893203883,280,188,171,395,423,332,405,635,293.333333333333,302
246.936893203883,259,138,165,265.435643564356,381,319,340,622,293.333333333333,302
220,221,130,144,353,425.920187793427,326.701421800948,284,719,246,262.604761904762
246.936893203883,229,161,114,309,317,326.701421800948,306,608,227,334
264,192,116,136,317,300,239,288,674,216,262.604761904762
251,252,131,145,229,425.920187793427,238,305,647,206,264
228,178,111,227.815668202765,229,425.920187793427,195,253,663,218,262.604761904762
246.936893203883,244.702564102564,139.239896897726,133,238,287,245,319,747,259,276
223,178,135,167,265.435643564356,324,254,352,696.139303482587,238,286
192,155,151,163,143,264,221,317,614,206,262.604761904762
196,244.702564102564,161,187,249,332,326.701421800948,377,696.139303482587,280,338
242,232,139.239896897726,133,265.435643564356,329,231,390,929,297,388
219,260,222,211,333,399,326.701421800948,349.734299516908,945,281,376
153,229,139.239896897726,154,412,403,280,436,943,307,262.604761904762
211,244.702564102564,189,274,463,438,305,441,927,351,344
219,264,139.239896897726,227.815668202765,460,533,322,468,1050,298,322
238,244.702564102564,270,318,599,425.920187793427,357,616,1090,388,262.604761904762
260,332,260,227.815668202765,603,674,429,349.734299516908,1291,397,390
285,309,253,380,622,718,326.701421800948,614,1294,293.333333333333,262.604761904762
318,355,223,325,588,602,391,349.734299516908,1160,293,429
278,346,255,248,550,591,354,577,908,385,262.604761904762
218,311,196,227,466,425.920187793427,386,349.734299516908,985,382,335
199,386,188,263,440,569,353,473,891,378,262.604761904762
250,298,143,227.815668202765,342,425.920187793427,364,437,679,360,354
232,263,153,75,265.435643564356,470,258,338,637,291,223
188,244.702564102564,139.239896897726,138,271,437,252,324,686,293.333333333333,173
164,244.702564102564,77,227.815668202765,241,391,326.701421800948,273,556,183,241
107,185,139.239896897726,114,147,325,194,274,696.139303482587,122,146
246.936893203883,244.702564102564,91,114,122,245,192,271,596,144,164
194,177,166,143,85,334,160,279,733,163,163
210,244.702564102564,163,153,113,256,213,349.734299516908,731,239,262.604761904762
246.936893203883,226,188,157,113,310,215,272,710,242,262.604761904762
246.936893203883,201,159,227.815668202765,265.435643564356,425.920187793427,326.701421800948,349.734299516908,766,293.333333333333,262.604761904762
227,233,173,146,139,342,220,303,696.139303482587,213,183
246.936893203883,192,139.239896897726,160,162,338,225,307,659,250,218
246.936893203883,234,208,174,177,337,326.701421800948,349.734299516908,540,295,191
227,251,131,162,175,425.920187793427,293,293,633,236,168
270,270,164,155,203,291,326.701421800948,309,613,228,227
246.936893203883,280,158,181,219,425.920187793427,281,311,696.139303482587,259,290
243,340,139.239896897726,270,178,350,296,374,696.139303482587,287,276
281,244.702564102564,139.239896897726,288,246,388,326.701421800948,395,696.139303482587,293.333333333333,450
300,456,218,247,471,404,273,371,696.139303482587,342,384
328,244.702564102564,205,258,429,435,347,352,577,274,327
349,458,270,340,265.435643564356,450,295,401,683,345,181
371,559,139.239896897726,326,391,647,366,349.734299516908,696.139303482587,341,396
299,244.702564102564,237,320,265.435643564356,568,326.701421800948,405,696.139303482587,253,438
294,459,218,196,426,425.920187793427,233,349.734299516908,793,293.333333333333,494
246.936893203883,441,150,227.815668202765,532,677,340,302,733,261,526
246.936893203883,244.702564102564,109,227.815668202765,569,617,333,437,721,380,532
296,244.702564102564,123,93,265.435643564356,425.920187793427,326.701421800948,349.734299516908,732,330,262.604761904762
255,274,124,192,452,509,326.701421800948,456,623,267,281
334,327,206,183,425,628,334,466,696.139303482587,317,146
308,379,161,166,510,575,451,399,696.139303482587,301,262.604761904762
264,244.702564102564,168,204,362,522,381,451,792,324,131
318,363,166,124,265.435643564356,629,353,364,696.139303482587,275,111
294,244.702564102564,98,215,261,557,368,409,827,293.333333333333,116
294,231,115,227.815668202765,265.435643564356,524,326.701421800948,414,696.139303482587,251,97
293,239,11,88,378,403,357,278,796,187,268
255,234,127,165,391,451,384,371,696.139303482587,293.333333333333,329
246.936893203883,211,173,315,265.435643564356,425.920187793427,326.701421800948,443,842,267,262.604761904762
265,264,162,209,444,361,326.701421800948,481,962,304,301
278,196,79,81,265.435643564356,490,366,288,1041,293.333333333333,262.604761904762
231,227,156.098039215686,71,506,377,338,19,696.139303482587,172,275
244,231,70,71,265.435643564356,473,301,279,1024,293.333333333333,297
221,184,37,80,265.435643564356,425.920187793427,326.701421800948,349.734299516908,900,377,262.604761904762
273,236,132,77,265.435643564356,484,367,347,696.139303482587,293.333333333333,262.604761904762
182,241,65,86,443,494,406,367,954,330,283
197,244.702564102564,205,231,543,484,326,551,696.139303482587,328,281
190,206,139.239896897726,271,497,493,326.701421800948,349.734299516908,1128,340,324
255,244.702564102564,244,286,577,501,371,622,1214,342,262.604761904762
246.936893203883,313,195,241,402,460,373,564,1198,339,383
251,244.702564102564,185,407,406,497,396,491,1029,313,401
246.936893203883,244.702564102564,169,227.815668202765,347,434,384,460,696.139303482587,340,340
209,214,180,261,265.435643564356,425.920187793427,387,363,696.139303482587,293.333333333333,305
217,229,162,317,231,410,346,349.734299516908,696.139303482587,322,272
192,244.702564102564,147,227.815668202765,183,384,326.701421800948,371,783,293.333333333333,256
200,213,139.239896897726,157,217,425.920187793427,315,330,623,293.333333333333,260
232,125,123,249,218,425.920187793427,290,349.734299516908,598,232,173
232,137,93,45,265.435643564356,373,221,349.734299516908,567,240,167
231,141,139.239896897726,45,136,242,252,158,696.139303482587,195,111
197,167,108,71,105,425.920187793427,237,349.734299516908,696.139303482587,156,262.604761904762
173,244.702564102564,131,118,83,272,236,265,595,190,130
174,187,129,117,111,243,206,349.734299516908,563,226,185
246.936893203883,189,115,115,132,220,222,258,696.139303482587,231,154
246.936893203883,202,115,116,146,299,208,261,671,211,182
162,201,122,227.815668202765,161,292,251,257,653,174,148
152,198,135,114,131,299,199,349.734299516908,696.139303482587,185,179
159,200,124,227.815668202765,152,368,261,291,634,187,161
246.936893203883,191,145,146,196,406,265,283,696.139303482587,293.333333333333,228
156,185,161,227.815668202765,140,287,326.701421800948,307,654,198,130
186,146,139,211,191,367,276,349.734299516908,562,216,169
169,244.702564102564,147,227.815668202765,185,425.920187793427,253,327,630,203,197
150,171,177,256,194,405,224,280,594,239,156
246.936893203883,183,158,179,204,363,326.701421800948,311,464,233,185
209,244.702564102564,135,174,229,291,216,305,696.139303482587,239,206
216,244.702564102564,135,219,244,373,237,385,651,293.333333333333,236
275,261,150,215,265.435643564356,377,273,327,695,294,253
327,360,139.239896897726,207,265,342,275,415,683,285,264
365,330,155,238,291,425.920187793427,326.701421800948,427,696.139303482587,337,295
246.936893203883,352,136,262,374,425.920187793427,386,349.734299516908,660,293.333333333333,253
326,325,114,208,238,400,341,369,696.139303482587,338,174
246.936893203883,301,117,209,351,485,363,411,710,354,300
439,294,147,228,328,467,368,349.734299516908,739,338,305
246.936893203883,324,116,189,321,440,336,405,696.139303482587,313,261
348,244.702564102564,135,176,289,475,326.701421800948,323,786,302,219
246.936893203883,221,139.239896897726,210,368,503,355,376,690,293.333333333333,188
316,244.702564102564,139.239896897726,180,254,424,310,349.734299516908,696.139303482587,293.333333333333,262.604761904762
306,233,139.239896897726,194,199,375,308,300,693,299,262.604761904762
316,244.702564102564,70,304,203,425.920187793427,334,317,623,293.333333333333,262.604761904762
285,219,75,227.815668202765,265.435643564356,396,326.701421800948,349.734299516908,617,273,182
230,288,139.239896897726,140,170,425.920187793427,234,286,533,215,163
250,195,73,147,222,435,283,298,615,293.333333333333,172
253,244.702564102564,77,166,258,365,267,303,696.139303482587,293.333333333333,262.604761904762
229,234,93,338,185,342,250,349.734299516908,639,229,162
263,244,139.239896897726,202,176,358,267,442,586,234,167
244,220,91,302,263,395,326.701421800948,443,682,293.333333333333,224
246.936893203883,244.702564102564,69,227.815668202765,265.435643564356,530,300,349.734299516908,791,293.333333333333,227
255,221,90,290,265.435643564356,381,299,349.734299516908,787,223,206
249,244.702564102564,84,219,234,410,326.701421800948,454,616,290,232
245,195,114,200,265.435643564356,421,235,443,721,301,262.604761904762
253,210,108,290,300,425.920187793427,276,449,717,349,203
250,244.702564102564,88,373,265.435643564356,442,350,452,654,220,262.604761904762
218,276,109,227.815668202765,415,481,326.701421800948,349.734299516908,835,262,260
238,244.702564102564,139.239896897726,227.815668202765,387,559,509,487,780,237,241
257,207,139.239896897726,227.815668202765,265.435643564356,588,628,465,798,362,255
260,256,133,271,265.435643564356,568,645,425,696.139303482587,354,263
192,251,130,244,481,649,553,462,696.139303482587,290,189
255,244.702564102564,145,310,333,516,424,349.734299516908,615,340,209
289,236,127,227.815668202765,292,425.920187793427,277,338,469,267,224
268,244.702564102564,139.239896897726,191,224,384,326.701421800948,288,379,241,175
207,212,139.239896897726,266,173,338,290,285,455,235,157
408,387,197,426,223,663,479,349.734299516908,874,501,243
186,200,101,227.815668202765,265.435643564356,342,216,349.734299516908,696.139303482587,256,171
174,244.702564102564,139.239896897726,184,96,427,269,283,696.139303482587,260,195
217,244.702564102564,139.239896897726,234,111,359,233,393,688,283,208
246.936893203883,274,139.239896897726,245,265.435643564356,389,285,321,758,310,247
188,218,137,185,89,372,326.701421800948,306,882,309,235
193,244.702564102564,130,232,103,398,279,351,594,293.333333333333,262.604761904762
213,216,139.239896897726,300,108,425.920187793427,288,395,748,365,262.604761904762
242,251,139.239896897726,304,137,421,322,316,735,445,273
246.936893203883,246,139.239896897726,227.815668202765,108,425.920187793427,305,323,634,319,280
168,244.702564102564,139.239896897726,466,119,425.920187793427,291,346,572,301,247
178,146,90,237,265.435643564356,312,306,302,595,275,255
192,175,111,248,140,425.920187793427,308,260,543,252,303
246.936893203883,244.702564102564,93,215,146,326,290,239,696.139303482587,283,272
277,195,98,227.815668202765,186,327,329,279,607,312,292
263,282,124,276,179,435,329,328,557,326,323
246.936893203883,244.702564102564,99,350,216,389,376,343,518,293.333333333333,321
246.936893203883,208,50,284,191,488,326.701421800948,349.734299516908,518,345,268
318,244.702564102564,104,262,197,425.920187793427,326.701421800948,310,696.139303482587,293.333333333333,295
338,244.702564102564,139.239896897726,232,194,417,326.701421800948,273,685,327,303
396,369,122,227.815668202765,186,528,326.701421800948,350,665,424,393
466,327,149,350,246,425.920187793427,365,411,596,426,370
357,244.702564102564,139.239896897726,228,188,391,326.701421800948,415,696.139303482587,402,262.604761904762
364,244.702564102564,100,297,265.435643564356,425.920187793427,332,336,696.139303482587,378,313
309,330,144,219,265.435643564356,544,326.701421800948,365,696.139303482587,424,273
292,244.702564102564,134,289,308,498,305,414,588,369,262.604761904762
311,211,94,275,286,525,326.701421800948,358,618,366,255
246.936893203883,148,100,237,265.435643564356,431,326.701421800948,337,550,318,262.604761904762
231,172,120,227.815668202765,203,446,292,295,473,306,245
294,191,139.239896897726,255,187,423,285,349.734299516908,499,319,232
301,190,122,253,202,426,349,349.734299516908,571,268,262.604761904762
269,206,90,182,265.435643564356,444,360,349.734299516908,650,352,243
262,203,67,227.815668202765,163,430,374,349.734299516908,636,398,243
246.936893203883,240,119,257,191,441,314,365,646,389,247
228,257,111,309,265.435643564356,417,326.701421800948,354,705,343,285
213,188,68,257,265.435643564356,393,246,369,864,359,262.604761904762
