"Bankim","Banyo","Belel","Dang","Djohong","Meiganga","Ngaoundal","Ngaoundere_Rural","Ngaoundere_Urbain","Tibati","Tignere"
177,176.32,120,93,139.06,320,169,306,536,192.76,176
168.15,143,175,134,174,235.61,206,266,500,182,193
188.48,166.56,147,108,208,227,211,257,473,206,230
136,174.78,145.68,130.11,167,210,220,257,570.53,216,258
163.89,144,134,93,159.8,204,184,191,466,199,218
195,145,164,90,198,222,214.51,256.59,550.45,219,172
168.68,163,157,132.08,181,221,179,241,523.92,165,233
127,137,188,124,196,222,192,281,628,144,216
144,162.44,158,170,182,198,197,253.84,529,130,160
182.37,198,170,132.3,207,232,217.2,282.7,616.52,179,195.37
224.3,212,196,181,313,317,256,289,640,214,247
214,245,245,207,349,395,292,273,703,259,355
256,293.14,211,274,320.97,360,328,349,682,299,327.48
264,343,205,269,339.68,364,301,384,637,297,323
265.15,299.54,191,266,411,373,334,355,617,296.84,344.9
310,322,225,290,391,585,338,405.96,644,336.47,364
328,493,252,316,471,540.92,383,425,648,310.84,470
282,432,205,229.31,364,419,298,402,554,291,336.22
280.47,346,218,196,367,459,300,391.78,645,280,323.75
266,342,178,237,374,384,336,415,702,335,395
265,320,201,243.27,377,421,336,437,658,291,464
250,343,190.94,235,380.99,511,332,393,580,299,352
246.24,262,188,159,345,371.58,308,322,555,223,338
251,230,159,144,316,397.17,280,331.29,449,268.17,262.03
277.5,280,188,171,395,423,332,405,635,288.53,302
250.16,259,138,165,254.61,381,319,340,622,276.2,302
220,221,130,144,353,387.57,301.41,284,719,246,268.35
228.06,229,161,114,309,317,254.7,306,608,227,334
264,192,116,136,317,300,239,288,674,216,226.24
251,252,131,145,229,336.97,238,305,647,206,264
228,178,111,134.24,229,286.08,195,253,663,218,203.93
220.13,208.74,144.16,133,238,287,245,319,747,259,276
223,178,135,167,224.12,324,254,352,649.38,238,286
192,155,151,163,143,264,221,317,614,206,180.4
196,250.92,161,187,249,332,288.97,377,728.65,280,338
242,232,177.95,133,340.98,329,231,390,929,297,388
219,260,222,211,333,399,290.92,396.49,945,281,376
153,229,136.642941176471,154,412,403,280,436,943,307,300.79
211,290.46,189,274,463,438,305,441,927,351,344
