periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_KNN_20
2018-01-07,177,231,120.0,93,244,320,169,306,536,211,176,2583.0
2018-01-14,227,143,175.0,134,174,227,206,266,500,182,193,2427.0
2018-01-21,173,177,147.0,108,208,227,211,257,473,206,230,2417.0
2018-01-28,136,185,122.0,174,167,210,220,257,563,216,258,2508.0
2018-02-04,258,144,134.0,93,146,204,184,191,466,199,218,2237.0
2018-02-11,195,145,164.0,90,198,222,216,258,500,219,172,2379.0
2018-02-18,205,163,157.0,115,181,221,179,241,500,165,233,2360.0
2018-02-25,127,137,188.0,124,196,222,192,281,628,144,216,2455.0
2018-03-04,144,158,158.0,170,182,198,197,271,529,130,160,2297.0
2018-03-11,217,198,170.0,211,207,232,237,352,674,179,197,2874.0
2018-03-18,187,212,196.0,181,313,317,256,289,640,214,247,3052.0
2018-03-25,214,245,245.0,207,349,395,292,273,703,259,355,3537.0
2018-04-01,256,261,211.0,274,198,360,328,349,682,299,276,3494.0
2018-04-08,264,343,205.0,269,374,364,301,384,637,297,323,3761.0
2018-04-15,234,280,191.0,266,411,373,334,355,617,291,323,3675.0
2018-04-22,310,322,225.0,290,391,585,338,361,644,336,364,4166.0
2018-04-29,328,493,252.0,316,471,478,383,425,648,341,470,4605.0
2018-05-06,282,432,205.0,238,364,419,298,402,554,291,384,3869.0
2018-05-13,301,346,218.0,196,367,459,300,349,645,280,327,3788.0
2018-05-20,266,342,178.0,237,374,384,336,415,702,335,395,3964.0
2018-05-27,265,320,201.0,258,377,421,336,437,658,291,464,4028.0
2018-06-03,250,343,141.0,235,347,511,332,393,580,299,352,3783.0
2018-06-10,251,262,188.0,159,345,395,308,322,555,223,338,3346.0
2018-06-17,251,230,159.0,144,316,398,280,328,449,299,224,3078.0
2018-06-24,250,280,188.0,171,395,423,332,405,635,297,302,3678.0
2018-07-01,244,259,138.0,165,216,381,319,340,622,259,302,3245.0
2018-07-08,220,221,130.0,144,353,430,239,284,719,246,228,3214.0
2018-07-15,265,229,161.0,114,309,317,256,306,608,227,334,3126.0
2018-07-22,264,192,116.0,136,317,300,239,288,674,216,228,2970.0
2018-07-29,251,252,131.0,145,229,338,238,305,647,206,264,3006.0
2018-08-05,228,178,111.0,238,229,404,195,253,663,218,214,2931.0
2018-08-12,188,212,166.0,133,238,287,245,319,747,259,276,3070.0
2018-08-19,223,178,135.0,167,146,324,254,352,634,238,286,2937.0
2018-08-26,192,155,151.0,163,143,264,221,317,614,206,183,2609.0
2018-09-02,196,187,161.0,187,249,332,281,377,747,280,338,3335.0
2018-09-09,242,232,150.0,133,208,329,231,390,929,297,388,3529.0
2018-09-16,219,260,222.0,211,333,399,386,441,945,281,376,4073.0
2018-09-23,153,229,134.0,154,412,403,280,436,943,307,329,3780.0
2018-09-30,211,301,189.0,274,463,438,305,441,927,351,344,4244.0
2018-10-07,219,264,169.0,241,460,533,322,468,1050,298,322,4346.0
2018-10-14,238,311,270.0,318,599,569,357,616,1090,388,383,5139.0
