periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_MICE_10
2018-01-07,177,143,120,93,156,320,169,306,536,180,176,2376
2018-01-14,143,196,175,134,203,299,206,266,500,182,288,2592
2018-01-21,163,166,147,108,208,227,211,257,473,206,230,2396
2018-01-28,136,136,118,122,85,210,220,271,449,216,258,2221
2018-02-04,122,144,134,93,201,204,184,191,466,122,218,2079
2018-02-11,122,146,164,90,198,222,217,244,571,122,172,2268
2018-02-18,135,163,157,118,181,221,179,241,560,165,248,2368
2018-02-25,127,168,188,170,113,222,192,281,628,144,216,2449
2018-03-04,144,138,158,170,182,198,197,256,529,130,160,2262
2018-03-11,127,198,170,115,207,232,218,301,647,179,167,2561
2018-03-18,168,212,196,181,313,317,256,289,640,214,276,3062
2018-03-25,214,245,245,207,349,395,292,273,703,259,355,3537
2018-04-01,256,384,211,274,426,360,328,349,615,299,380,3882
2018-04-08,264,343,180,269,383,364,301,384,637,297,323,3745
2018-04-15,298,365,191,71,411,373,334,355,617,303,379,3697
2018-04-22,310,264,163,228,391,585,338,388,644,340,364,4015
2018-04-29,328,493,252,316,471,624,383,425,648,312,470,4722
2018-05-06,282,432,205,202,364,419,298,402,710,291,443,4048
2018-05-13,316,346,218,196,367,459,269,442,645,280,446,3984
2018-05-20,266,342,201,133,374,384,336,415,702,306,395,3854
2018-05-27,247,320,201,251,377,421,336,437,658,291,464,4003
2018-06-03,250,343,165,159,397,511,332,343,580,299,352,3731
2018-06-10,251,262,188,159,345,408,308,322,555,223,338,3359
2018-06-17,251,230,159,144,316,321,280,292,449,214,290,2946
2018-06-24,220,280,162,171,395,423,332,405,635,249,302,3574
2018-07-01,264,259,138,165,363,381,319,340,622,225,302,3378
2018-07-08,220,221,130,144,353,305,279,284,719,246,307,3208
2018-07-15,231,229,146,114,309,317,318,306,608,227,334,3139
2018-07-22,264,192,116,136,317,300,239,288,674,216,268,3010
2018-07-29,251,252,131,211,229,341,238,305,647,206,264,3075
2018-08-05,228,178,111,179,229,308,195,309,663,218,310,2928
2018-08-12,188,168,130,133,238,287,245,319,747,259,276,2990
2018-08-19,228,178,135,167,176,324,254,352,707,238,286,3045
2018-08-26,192,155,151,163,143,264,252,288,614,206,248,2676
2018-09-02,196,207,161,187,249,332,240,377,988,280,338,3555
2018-09-09,242,232,181,133,304,329,231,390,929,297,388,3656
2018-09-16,219,260,111,211,333,399,249,426,658,281,376,3523
2018-09-23,153,229,202,154,412,403,349,436,943,307,363,3951
2018-09-30,211,203,189,274,411,438,305,441,927,312,344,4055
2018-10-07,219,264,220,245,460,533,322,468,1050,298,322,4401
2018-10-14,238,277,270,318,599,682,357,616,1090,388,470,5305
2018-10-21,260,332,260,311,603,674,429,692,1291,397,390,5639
2018-10-28,285,309,253,380,622,718,381,614,1294,461,400,5717
2018-11-04,318,355,223,325,588,602,391,592,1089,293,429,5205
2018-11-11,278,346,255,248,550,591,332,577,908,385,413,4883
2018-11-18,218,311,196,227,466,651,386,426,985,382,335,4583
2018-11-25,300,386,188,263,440,569,353,473,623,378,335,4308
2018-12-02,250,298,150,288,342,500,364,437,679,360,354,4022
2018-12-09,232,263,153,273,353,470,258,338,637,291,223,3491
2018-12-16,188,276,119,138,271,437,252,324,686,259,173,3123
2018-12-23,164,187,77,112,241,391,208,228,556,183,241,2588
2018-12-30,107,185,226,114,147,325,194,274,500,122,146,2340
2019-01-06,163,191,91,114,122,245,192,271,596,144,164,2293
2019-01-13,194,177,166,143,85,334,160,279,733,163,163,2597
2019-01-20,210,217,163,153,113,256,213,299,731,239,177,2771
2019-01-27,167,226,188,157,113,310,215,272,710,242,185,2785
2019-02-03,181,201,159,159,159,340,216,306,766,261,492,3240
2019-02-10,227,233,173,146,139,310,220,303,717,163,183,2814
2019-02-17,199,192,200,160,162,338,225,324,659,250,248,2957
2019-02-24,279,234,208,174,177,337,282,330,540,295,191,3047
2019-03-03,227,251,131,162,175,326,293,293,633,236,263,2990
2019-03-10,216,270,164,155,203,291,277,309,613,228,227,2953
2019-03-17,250,280,164,77,219,341,281,311,586,259,290,3058
2019-03-24,243,340,225,270,229,350,296,374,599,287,276,3489
2019-03-31,281,403,194,288,304,388,311,395,625,304,450,3943
2019-04-07,300,456,195,247,471,404,273,371,610,342,328,3997
2019-04-14,328,389,205,258,429,435,347,352,577,274,327,3921
2019-04-21,349,458,270,340,331,450,295,401,683,269,181,4027
2019-04-28,371,559,194,326,391,647,354,455,808,341,396,4842
2019-05-05,299,498,237,248,453,568,333,405,747,253,243,4284
2019-05-12,294,459,218,196,426,410,233,511,793,246,401,4187
2019-05-19,328,441,150,85,569,677,340,302,733,261,526,4412
2019-05-26,371,476,109,102,569,617,333,437,721,380,532,4647
2019-06-02,296,320,123,93,542,463,260,236,732,330,340,3735
2019-06-09,255,274,124,192,452,509,297,456,623,267,281,3730
2019-06-16,299,432,206,183,425,628,334,466,757,317,146,4193
2019-06-23,308,379,161,166,510,575,451,399,800,352,159,4260
2019-06-30,264,211,168,204,362,522,381,388,792,324,131,3747
2019-07-07,318,363,166,124,356,629,353,364,850,275,111,3909
2019-07-14,294,252,98,215,261,557,368,409,640,281,116,3491
2019-07-21,294,231,115,219,376,524,381,414,833,251,97,3735
2019-07-28,293,239,11,88,378,403,357,278,796,187,268,3298
2019-08-04,232,234,127,165,391,451,384,376,828,342,329,3859
2019-08-11,211,211,173,315,404,396,362,443,842,267,237,3861
2019-08-18,265,264,162,209,444,361,367,405,962,304,301,4044
2019-08-25,278,196,79,81,389,490,366,427,1041,265,167,3779
2019-09-01,231,227,50,71,506,377,338,19,1039,172,275,3305
2019-09-08,244,231,70,71,356,473,301,279,808,284,224,3341
2019-09-15,221,184,37,80,403,499,381,393,721,283,363,3565
2019-09-22,273,236,132,77,375,484,367,347,988,286,263,3828
2019-09-29,182,241,161,226,443,494,406,367,954,330,283,4087
2019-10-06,197,264,205,231,543,484,326,551,1095,328,281,4505
2019-10-13,190,206,196,271,497,493,275,660,1128,340,446,4702
