periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_Mean_20
2018-01-07,177.0,244.702564102564,120.0,93.0,265.435643564356,320.0,169.0,306.0,536.0,293.333333333333,176.0,2700.4715410002527
2018-01-14,246.936893203883,143.0,175.0,134.0,174.0,425.920187793427,206.0,266.0,500.0,182.0,193.0,2645.85708099731
2018-01-21,246.936893203883,244.702564102564,147.0,108.0,208.0,227.0,211.0,257.0,473.0,206.0,230.0,2558.639457306447
2018-01-28,136.0,244.702564102564,139.239896897726,227.815668202765,167.0,210.0,220.0,257.0,696.139303482587,216.0,258.0,2771.897432685642
2018-02-04,246.936893203883,144.0,134.0,93.0,265.435643564356,204.0,184.0,191.0,466.0,199.0,218.0,2345.372536768239
2018-02-11,195.0,145.0,164.0,90.0,198.0,222.0,326.701421800948,349.734299516908,696.139303482587,219.0,172.0,2777.575024800443
2018-02-18,246.936893203883,163.0,157.0,227.815668202765,181.0,221.0,179.0,241.0,696.139303482587,165.0,233.0,2710.891864889235
2018-02-25,127.0,137.0,188.0,124.0,196.0,222.0,192.0,281.0,628.0,144.0,216.0,2455.0
2018-03-04,144.0,244.702564102564,158.0,170.0,182.0,198.0,197.0,349.734299516908,529.0,130.0,160.0,2462.4368636194718
2018-03-11,246.936893203883,198.0,170.0,227.815668202765,207.0,232.0,326.701421800948,349.734299516908,696.139303482587,179.0,262.604761904762,3095.9323481118527
2018-03-18,246.936893203883,212.0,196.0,181.0,313.0,317.0,256.0,289.0,640.0,214.0,247.0,3111.936893203883
2018-03-25,214.0,245.0,245.0,207.0,349.0,395.0,292.0,273.0,703.0,259.0,355.0,3537.0
2018-04-01,256.0,244.702564102564,211.0,274.0,265.435643564356,360.0,328.0,349.0,682.0,299.0,262.604761904762,3531.742969571682
2018-04-08,264.0,343.0,205.0,269.0,265.435643564356,364.0,301.0,384.0,637.0,297.0,323.0,3652.435643564356
2018-04-15,246.936893203883,244.702564102564,191.0,266.0,411.0,373.0,334.0,355.0,617.0,293.333333333333,262.604761904762,3594.5775525445424
2018-04-22,310.0,322.0,225.0,290.0,391.0,585.0,338.0,349.734299516908,644.0,293.333333333333,364.0,4112.067632850241
2018-04-29,328.0,493.0,252.0,316.0,471.0,425.920187793427,383.0,425.0,648.0,293.333333333333,470.0,4505.2535211267605
2018-05-06,282.0,432.0,205.0,227.815668202765,364.0,419.0,298.0,402.0,554.0,291.0,262.604761904762,3737.420430107527
2018-05-13,246.936893203883,346.0,218.0,196.0,367.0,459.0,300.0,349.734299516908,645.0,280.0,262.604761904762,3670.275954625553
2018-05-20,266.0,342.0,178.0,237.0,374.0,384.0,336.0,415.0,702.0,335.0,395.0,3964.0
2018-05-27,265.0,320.0,201.0,227.815668202765,377.0,421.0,336.0,437.0,658.0,291.0,464.0,3997.8156682027648
2018-06-03,250.0,343.0,139.239896897726,235.0,265.435643564356,511.0,332.0,393.0,580.0,299.0,352.0,3699.6755404620817
2018-06-10,246.936893203883,262.0,188.0,159.0,345.0,425.920187793427,308.0,322.0,555.0,223.0,338.0,3372.85708099731
2018-06-17,251.0,230.0,159.0,144.0,316.0,425.920187793427,280.0,349.734299516908,449.0,293.333333333333,262.604761904762,3160.59258254843
2018-06-24,246.936893203883,280.0,188.0,171.0,395.0,423.0,332.0,405.0,635.0,293.333333333333,302.0,3671.270226537216
2018-07-01,246.936893203883,259.0,138.0,165.0,265.435643564356,381.0,319.0,340.0,622.0,293.333333333333,302.0,3331.705870101572
2018-07-08,220.0,221.0,130.0,144.0,353.0,425.920187793427,326.701421800948,284.0,719.0,246.0,262.604761904762,3332.226371499137
2018-07-15,246.936893203883,229.0,161.0,114.0,309.0,317.0,326.701421800948,306.0,608.0,227.0,334.0,3178.638315004831
2018-07-22,264.0,192.0,116.0,136.0,317.0,300.0,239.0,288.0,674.0,216.0,262.604761904762,3004.604761904762
2018-07-29,251.0,252.0,131.0,145.0,229.0,425.920187793427,238.0,305.0,647.0,206.0,264.0,3093.920187793427
2018-08-05,228.0,178.0,111.0,227.815668202765,229.0,425.920187793427,195.0,253.0,663.0,218.0,262.604761904762,2991.3406179009544
2018-08-12,246.936893203883,244.702564102564,139.239896897726,133.0,238.0,287.0,245.0,319.0,747.0,259.0,276.0,3134.879354204173
2018-08-19,223.0,178.0,135.0,167.0,265.435643564356,324.0,254.0,352.0,696.139303482587,238.0,286.0,3118.574947046943
2018-08-26,192.0,155.0,151.0,163.0,143.0,264.0,221.0,317.0,614.0,206.0,262.604761904762,2688.604761904762
2018-09-02,196.0,244.702564102564,161.0,187.0,249.0,332.0,326.701421800948,377.0,696.139303482587,280.0,338.0,3387.543289386099
2018-09-09,242.0,232.0,139.239896897726,133.0,265.435643564356,329.0,231.0,390.0,929.0,297.0,388.0,3575.6755404620817
2018-09-16,219.0,260.0,222.0,211.0,333.0,399.0,326.701421800948,349.734299516908,945.0,281.0,376.0,3922.435721317856
2018-09-23,153.0,229.0,139.239896897726,154.0,412.0,403.0,280.0,436.0,943.0,307.0,262.604761904762,3718.844658802488
2018-09-30,211.0,244.702564102564,189.0,274.0,463.0,438.0,305.0,441.0,927.0,351.0,344.0,4187.702564102564
2018-10-07,219.0,264.0,139.239896897726,227.815668202765,460.0,533.0,322.0,468.0,1050.0,298.0,322.0,4303.055565100491
2018-10-14,238.0,244.702564102564,270.0,318.0,599.0,425.920187793427,357.0,616.0,1090.0,388.0,262.604761904762,4809.2275138007535
2018-10-21,260.0,332.0,260.0,227.815668202765,603.0,674.0,429.0,349.734299516908,1291.0,397.0,390.0,5213.549967719673
2018-10-28,285.0,309.0,253.0,380.0,622.0,718.0,326.701421800948,614.0,1294.0,293.333333333333,262.604761904762,5357.639517039043
2018-11-04,318.0,355.0,223.0,325.0,588.0,602.0,391.0,349.734299516908,1160.0,293.0,429.0,5033.734299516907
2018-11-11,278.0,346.0,255.0,248.0,550.0,591.0,354.0,577.0,908.0,385.0,262.604761904762,4754.604761904762
2018-11-18,218.0,311.0,196.0,227.0,466.0,425.920187793427,386.0,349.734299516908,985.0,382.0,335.0,4281.654487310335
2018-11-25,199.0,386.0,188.0,263.0,440.0,569.0,353.0,473.0,891.0,378.0,262.604761904762,4402.604761904762
2018-12-02,250.0,298.0,143.0,227.815668202765,342.0,425.920187793427,364.0,437.0,679.0,360.0,354.0,3880.735855996192
2018-12-09,232.0,263.0,153.0,75.0,265.435643564356,470.0,258.0,338.0,637.0,291.0,223.0,3205.435643564356
2018-12-16,188.0,244.702564102564,139.239896897726,138.0,271.0,437.0,252.0,324.0,686.0,293.333333333333,173.0,3146.275794333623
2018-12-23,164.0,244.702564102564,77.0,227.815668202765,241.0,391.0,326.701421800948,273.0,556.0,183.0,241.0,2925.219654106277
2018-12-30,107.0,185.0,139.239896897726,114.0,147.0,325.0,194.0,274.0,696.139303482587,122.0,146.0,2449.379200380313
2019-01-06,246.936893203883,244.702564102564,91.0,114.0,122.0,245.0,192.0,271.0,596.0,144.0,164.0,2430.639457306447
2019-01-13,194.0,177.0,166.0,143.0,85.0,334.0,160.0,279.0,733.0,163.0,163.0,2597.0
2019-01-20,210.0,244.702564102564,163.0,153.0,113.0,256.0,213.0,349.734299516908,731.0,239.0,262.604761904762,2935.0416255242335
2019-01-27,246.936893203883,226.0,188.0,157.0,113.0,310.0,215.0,272.0,710.0,242.0,262.604761904762,2942.5416551086446
2019-02-03,246.936893203883,201.0,159.0,227.815668202765,265.435643564356,425.920187793427,326.701421800948,349.734299516908,766.0,293.333333333333,262.604761904762,3524.482209320382
2019-02-10,227.0,233.0,173.0,146.0,139.0,342.0,220.0,303.0,696.139303482587,213.0,183.0,2875.139303482587
2019-02-17,246.936893203883,192.0,139.239896897726,160.0,162.0,338.0,225.0,307.0,659.0,250.0,218.0,2897.176790101609
2019-02-24,246.936893203883,234.0,208.0,174.0,177.0,337.0,326.701421800948,349.734299516908,540.0,295.0,191.0,3079.372614521739
2019-03-03,227.0,251.0,131.0,162.0,175.0,425.920187793427,293.0,293.0,633.0,236.0,168.0,2994.920187793427
2019-03-10,270.0,270.0,164.0,155.0,203.0,291.0,326.701421800948,309.0,613.0,228.0,227.0,3056.701421800948
2019-03-17,246.936893203883,280.0,158.0,181.0,219.0,425.920187793427,281.0,311.0,696.139303482587,259.0,290.0,3347.9963844798967
2019-03-24,243.0,340.0,139.239896897726,270.0,178.0,350.0,296.0,374.0,696.139303482587,287.0,276.0,3449.379200380313
2019-03-31,281.0,244.702564102564,139.239896897726,288.0,246.0,388.0,326.701421800948,395.0,696.139303482587,293.333333333333,450.0,3748.116519617158
2019-04-07,300.0,456.0,218.0,247.0,471.0,404.0,273.0,371.0,696.139303482587,342.0,384.0,4162.139303482587
2019-04-14,328.0,244.702564102564,205.0,258.0,429.0,435.0,347.0,352.0,577.0,274.0,327.0,3776.702564102564
2019-04-21,349.0,458.0,270.0,340.0,265.435643564356,450.0,295.0,401.0,683.0,345.0,181.0,4037.435643564356
2019-04-28,371.0,559.0,139.239896897726,326.0,391.0,647.0,366.0,349.734299516908,696.139303482587,341.0,396.0,4582.113499897221
2019-05-05,299.0,244.702564102564,237.0,320.0,265.435643564356,568.0,326.701421800948,405.0,696.139303482587,253.0,438.0,4052.9789329504547
2019-05-12,294.0,459.0,218.0,196.0,426.0,425.920187793427,233.0,349.734299516908,793.0,293.333333333333,494.0,4181.987820643668
2019-05-19,246.936893203883,441.0,150.0,227.815668202765,532.0,677.0,340.0,302.0,733.0,261.0,526.0,4436.752561406648
2019-05-26,246.936893203883,244.702564102564,109.0,227.815668202765,569.0,617.0,333.0,437.0,721.0,380.0,532.0,4417.455125509212
2019-06-02,296.0,244.702564102564,123.0,93.0,265.435643564356,425.920187793427,326.701421800948,349.734299516908,732.0,330.0,262.604761904762,3449.098878682965
2019-06-09,255.0,274.0,124.0,192.0,452.0,509.0,326.701421800948,456.0,623.0,267.0,281.0,3759.701421800948
2019-06-16,334.0,327.0,206.0,183.0,425.0,628.0,334.0,466.0,696.139303482587,317.0,146.0,4062.139303482587
