periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_missF_20
2018-01-07,177.0,176.32,120.0,93.0,139.06,320.0,169.0,306.0,536.0,192.76,176.0,2405.14
2018-01-14,168.15,143.0,175.0,134.0,174.0,235.61,206.0,266.0,500.0,182.0,193.0,2376.76
2018-01-21,188.48,166.56,147.0,108.0,208.0,227.0,211.0,257.0,473.0,206.0,230.0,2422.04
2018-01-28,136.0,174.78,145.68,130.11,167.0,210.0,220.0,257.0,570.53,216.0,258.0,2485.1
2018-02-04,163.89,144.0,134.0,93.0,159.8,204.0,184.0,191.0,466.0,199.0,218.0,2156.69
2018-02-11,195.0,145.0,164.0,90.0,198.0,222.0,214.51,256.59,550.45,219.0,172.0,2426.55
2018-02-18,168.68,163.0,157.0,132.08,181.0,221.0,179.0,241.0,523.92,165.0,233.0,2364.68
2018-02-25,127.0,137.0,188.0,124.0,196.0,222.0,192.0,281.0,628.0,144.0,216.0,2455.0
2018-03-04,144.0,162.44,158.0,170.0,182.0,198.0,197.0,253.84,529.0,130.0,160.0,2284.2799999999997
2018-03-11,182.37,198.0,170.0,132.3,207.0,232.0,217.2,282.7,616.52,179.0,195.37,2612.46
2018-03-18,224.3,212.0,196.0,181.0,313.0,317.0,256.0,289.0,640.0,214.0,247.0,3089.3
2018-03-25,214.0,245.0,245.0,207.0,349.0,395.0,292.0,273.0,703.0,259.0,355.0,3537.0
2018-04-01,256.0,293.14,211.0,274.0,320.97,360.0,328.0,349.0,682.0,299.0,327.48,3700.5899999999997
2018-04-08,264.0,343.0,205.0,269.0,339.68,364.0,301.0,384.0,637.0,297.0,323.0,3726.6800000000003
2018-04-15,265.15,299.54,191.0,266.0,411.0,373.0,334.0,355.0,617.0,296.84,344.9,3753.4300000000003
2018-04-22,310.0,322.0,225.0,290.0,391.0,585.0,338.0,405.96,644.0,336.47,364.0,4211.43
2018-04-29,328.0,493.0,252.0,316.0,471.0,540.92,383.0,425.0,648.0,310.84,470.0,4637.76
2018-05-06,282.0,432.0,205.0,229.31,364.0,419.0,298.0,402.0,554.0,291.0,336.22,3812.5299999999997
2018-05-13,280.47,346.0,218.0,196.0,367.0,459.0,300.0,391.78,645.0,280.0,323.75,3807.0
2018-05-20,266.0,342.0,178.0,237.0,374.0,384.0,336.0,415.0,702.0,335.0,395.0,3964.0
